id,length,stage_name,type
52,184.5,BERNEFINHAUTEMOSSON_2016,mountains_uphill
53,209.0,MOIRANSENMONTAGNEBERNE_2016,hills_flat
54,159.0,BOURGENBRESSECULOZ_2016,mountains_flat
55,208.5,MONTÃLIMARVILLARSLESDOMBESPARCDESOISEAUX_2016,hills_flat
56,37.5,BOURGSAINTANDEOLLECAVERNEDEPONTDARC_2016,hills_uphill
57,178.0,MONTPELLIERCHALETREYNARDMONTVENTOUX_2016,mountains_uphill
58,162.5,CARCASSONNEMONTPELLIER_2016,hills_flat
59,197.0,ESCALDESENGORDANYREVEL_2016,mountains_flat
60,184.0,VIELHAVALDARANANDORRAARCALIS_2016,mountains_uphill
61,184.0,PAUBAGNèRESDELUCHON_2016,mountains_flat
62,162.5,LISLEJOURDAINLACDEPAYOLLE_2016,mountains_flat
63,190.5,ARPAJONSURCÃREMONTAUBAN_2016,hills_flat
64,216.0,LIMOGESLELIORAN_2016,mountains_flat
65,237.5,SAUMURLIMOGES_2016,hills_flat
66,223.5,GRANVILLEANGERS_2016,hills_flat
67,183.0,SAINTLôCHERBOURG_2016,hills_uphill
68,188.0,MONTSAINTMICHELUTAHBEACHSAINTEMARIEDUMONT_2016,hills_flat
178,57.0,LAPUNTDAVOS_2016,hills_flat
179,16.8,DAVOSDAVOS_2016,hills_flat
180,224.3,ARBONSöLDEN_2016,mountains_uphill
181,162.8,WEESEAMDEN_2016,mountains_uphill
182,126.4,BRIGGLISCARì_2016,mountains_uphill
183,193.0,RHEINFELDENCHAMPAGNE_2016,hills_uphill
184,192.6,GROSSWANGENRHEINFELDEN_2016,hills_flat
185,187.6,BAARBAAR_2016,hills_flat
185,187.6,BAARBAAR_2016,hills_flat
186,138.0,SACRAMENTOSACRAMENTO_2016,flat
187,175.5,SANTAROSASANTAROSA_2016,hills_flat
188,20.3,FOLSOMFOLSOM_2016,hills_flat
189,212.0,LODISOUTHLAKETAHOE_2016,mountains_uphill
190,217.0,MORROBAYMONTEREYCOUNTY_2016,hills_flat
191,167.5,THOUSANDOAKSSANTABARBARACOUNTY_2016,mountains_uphill
192,148.5,SOUTHPASADENASANTACLARITA_2016,mountains_flat
193,175.0,SANDIEGOSANDIEGO_2016,hills_flat
121,165.0,LESAKAORIO_2016,hills_flat
122,193.5,VITORIAGASTEIZLESAKA_2016,hills_flat
123,174.2,MARKINAXEMEINAMURRIOBARANBIO_2016,mountains_uphill
124,144.0,ETXEBARRIAMARKINAXEMEIN_2016,hills_flat
83,136.4,BARCELONABARCELONA_2016,hills_flat
84,197.2,SANTJOANDESPIVILANOVAILAGELTRU_2016,hills_flat
85,187.2,RIALPVALLS_2016,hills_flat
86,172.2,BAGÃPORTAINÃ_2016,mountains_uphill
87,172.1,GIRONALAMOLINA_2016,mountains_uphill
88,178.7,MATARóOLOT_2016,hills_flat
89,175.8,CALELLACALELLA_2016,hills_flat
194,10.05,SANBENEDETTODELTRONTOSANBENEDETTODELTRONTO_2016,flat
195,210.0,CASTELRAIMONDOCEPAGATTI_2016,hills_uphill
196,216.0,MONTALTODICASTROFOLIGNO_2016,hills_flat
197,176.0,CASTELNUOVOVALDICECINAMONTALTODICASTRO_2016,hills_flat
198,207.0,CAMAIOREPOMARANCE_2016,hills_flat
199,22.7,LIDODICAMAIORELIDODICAMAIORE_2016,flat
200,171.0,SANROQUEPEñASBLANCAS_2016,mountains_uphill
201,21.0,ALHAURíNDELATORREALHAURíNDELATORRE_2016,hills_uphill
202,157.9,MONACHILPADUL_2016,hills_flat
203,186.3,PALOMARESDELRíOCóRDOBA_2016,hills_flat
204,165.2,ALMONASTERLAREALSEVILLA_2016,hills_flat
205,120.6,VALENCIAVALENCIA_2016,hills_flat
206,141.3,ORIHUELAXORRETDELCATí_2016,hills_flat
207,173.5,SAGUNTOALZIRA_2016,hills_flat
208,163.3,CASTELLONFREDES_2016,mountains_uphill
209,16.25,BENICàSSIMOROPESADELMAR_2016,hills_flat
1,115.0,ALBERTVILLEPLATEAUDESOLAISON_2017,mountains_uphill
2,167.5,AOSTEALPEDHUEZ_2017,mountains_uphill
3,145.5,PARCDESOISEAUXVILLARSLESDOMBESLAMOTTESERVOLEX_2017,mountains_flat
4,175.0,LATOURDESALVAGNYMâCON_2017,hills_flat
5,23.5,LATOURDUPINBOURGIONJALIEU_2017,flat
6,184.0,LECHAMBONSURLIGNONTULLINS_2017,hills_flat
7,171.0,SAINTCHAMONDARLANC_2017,hills_flat
8,170.0,SAINTÉTIENNESAINTÉTIENNE_2017,hills_flat
210,122.5,TADCASTERHARROGATE_2017,hills_flat
211,174.0,BRIDLINGTONSCARBOROUGH_2017,hills_flat
105,115.5,NICENICE_2017,mountains_flat
106,177.0,NICECOLDELACOUILLOLE_2017,mountains_uphill
107,193.5,AUBAGNEFAYENCE_2017,mountains_flat
108,199.5,QUINCIéENBEAUJOLAISBOURGDEPéAGE_2017,hills_flat
109,14.5,BEAUJEUMONTBROUILLY_2017,hills_uphill
110,190.0,CHABLISCHALONSURSAôNE_2017,hills_flat
111,195.0,ROCHEFORTENYVELINESAMILLY_2017,flat
112,148.5,BOISDARCYBOISDARCY_2017,flat
166,151.5,SETENILDELASBODEGASCáDIZCOíNMáLAGA_2017,hills_flat
167,179.3,LACAMPANASEVILLASEVILLA_2017,hills_flat
168,12.0,LUCENACóRDOBA_2017,flat
169,177.9,TORREDONJIMENOALTOPEñADELÁGUILAMANCHAREALJAéN_2017,hills_uphill
170,155.4,RINCóNDELAVICTORIAMáLAGAGRANADA_2017,hills_flat
212,124.0,DUBAIDUBAI_2017,flat
213,200.0,DUBAIALAQAH_2017,flat
214,188.0,DUBAIRASALKHAIMAH_2017,flat
212,124.0,DUBAIDUBAI_2017,flat
27,104.1,LASROZASMADRID_2016,flat
28,193.2,BENIDORMALTODEAITANAESCUADRÃ³NEJÃRCITODELAIRE_2016,mountains_uphill
29,37.0,XàBIACALP_2016,flat
30,200.6,REQUENAGANDíA_2016,hills_flat
31,177.5,CASTELLÃ³NLLUCENACAMINSDELPENYGOLOSA_2016,mountains_uphill
32,156.4,ALCAÃIZPEÃÃSCOLA_2016,hills_flat
33,118.5,SABIÃÃNIGOSALLENTDEGÃLLEGOARAMONFORMIGAL_2016,mountains_uphill
34,196.0,URDATXDANTXARINEAAUBISQUE_2016,mountains_uphill
35,213.4,BILBAOURDAXDANTXARINEA_2016,hills_flat
36,193.2,LOSCORRALESDEBUELNABILBAO_2016,hills_flat
